FullName|Reputation|Answers|Questions|PeopleReached|Location|Github|Membership|Tags
Bryan Chen|'40680'|527||53.9m|Auckland, New Zealand|lc|9 years, 3 months|ios, swift, c++, iphone
mre|'38693'|463||83.8m|||9 years, 4 months|java, swing, jframe, jbutton
David Berry|'37772'|720||37.6m|||6 years, 4 months|swift, ios, xcode, arrays
lanzz|'35719'|618||618.0m|London, United Kingdom|anzz|9 years, 3 months|php, node.js, django, mysql, python
Mikael Svenson|'35112'|455||21.9m|Norway||10 years, 10 months|c#, .net, asp.net, vb.net, xml, html
anon|'34185'|14||308.0m|||10 years, 5 months|c++, opengl, c, macos, java, vim
kovshenin|'26200'|90||31.3m|Moscow, Russia||11 years, 8 months|python, wordpress, php, apache, django, jquery
Gilad Naor|'15839'|64||21.1m|Seattle, WA, United States||11 years, 8 months|python, matlab, file-io, c++, linux, c
skyfoot|'15553'|134||38.4m|London||10 years, 11 months|regex, c#, .net, jquery, android
covener|'15262'||||Raleigh, NC|||apache, websphere, .htaccess, java, apache2, apache2.4
kha|'14766'|95||49.3m|||5 years, 10 months|android, angular, c#, .net, java
German Attanasio|'14561'|220||10.4m|Boston, Massachusetts|ermanattanasio|9 years, 8 months|node.js, java, ibm-cloud
Everettss|'11092'||||Poland|||webpack, puppeteer, node.js
acraig5075|'9225'||||Cape Town, Western Cape, South Africa|craig||c++, mfc, string, c, vector
alan ocallaghan|'2350'||||Edinburgh, United Kingdom||5 years, 2 months|r, ggplot2, plotly, heatmaply, git, legend
Alexandre Kirszenberg|'31423'|116||20.4m|Paris, France||8 years, 8 months|reactjs, webpack, node.js, html
see sharper|'5802'||||Melbourne VIC, Australia||8 years, 2 months|c#, reactjs, python, angularjs, node.js
imvain2|'5585'|||||||jquery, html, css, php, ajax
Aleks G|'50430'|1,213||228.1m|UK|||android, php, java, mysql, sql
enrico.bacis|'25215'|462||30.4m|Italy|nricobacis|8 years, 7 months|python, java, regex, list
Jess|'18134'|215||46.2m|United States|esslilly|7 years, 7 months|c#, angularjs, eclipse, node.js, css
becko|'11042'||||||8 years, 10 months|julia, bash, c, c++, python
Grigory Kislin|'10840'|197||197.2m|St. Petersburg, Russia||9 years, 5 months|java, spring, jpa, hibernate
Claudio Redi|'60499'|1,361||20.9m|Buenos Aires, Argentina|laudioredi|10 years, 5 months|c#, asp.net, jquery, .net, html
Branko Dimitrijevic|'44809'|1,383||26.9m|Novi Sad, Serbia||9 years, 6 months|database, sql, mysql, c#, c++
Ankur Singhal|'21818'|798||82.7m|India|odethinker|8 years, 3 months|java, hibernate, spring, json, string
Peter B|'16601'||||The Hague area, Nederland||8 years, 3 months|c#, html, sql
Vojtech Ruzicka|'11874'||||Prague, Czech Republic|ojtechruz|5 years, 3 months|java, spring, vaadin, vaadin7
Bob|'10552'||||Chennai, India|ineshbob|5 years, 3 months|android, kotlin, java
Rita Han - MSFT|'7377'||||||3 years, 10 months|c#, winapi, azure, iot
ahajib|'7335'||||Orlando, FL, United States||6 years, 8 months|python, pyspark, igraph, hadoop, numpy
Matus Dubrava|'6622'||||Slovakia||2 years, 2 months|node.js, python, amazon-s3
Mark Brown|'1608'||||Redmond, WA, USA|arkjbrown|8 years, 10 months|azure, c#, php
chown|'46831'|620||10.9m|New York, NY|hosmer|8 years, 11 months|ios, iphone, python, ipad, xcode
Anentropic|'24636'|442||56.8m|London, United Kingdom|nentropic|10 years, 7 months|python, django
ev-br|'18877'|550||27.5m|||10 years, 10 months|python, scipy, numpy, arrays, c++
hilberts_drinking_problem|'8866'||||Antarctica||5 years, 3 months|python, numpy, pandas, list, dataframe
Kasper|'6310'||||||7 years, 2 months|dart, html, angular, css, jquery
Toodoo|'5075'||||Somewhere||3 years, 10 months|slack, vue.js, arrays, html
Jaydeep chatrola|'1217'||||Ahmedabad, Gujarat, India||2 years, 10 months|android, flutter, dart, kotlin
Mario Boss|'1081'||||London, United Kingdom||2 years, 11 months|reactjs, html, css, next.js, jquery
lexicore|'37189'|1,357||95.3m|Frankfurt, Germany|ighsource|10 years, 2 months|java, jaxb, xml, xsd, maven, xjc
Niklas|'19957'|705||906.0m|Sweden|ontao||python, c, java, django
ZdaR|'16436'|562||15.3m|Jammu and Kashmir|nmoluppal|6 years, 6 months|python, opencv, list, numpy
Aliaksandr Sushkevich|'5256'||||Belarus|liaksandr|3 years, 3 months|reactjs, html, frontend, redux, css
Lenoarod|'2214'||||Chinatown, 曼哈顿纽约纽约州美国|nlove|4 years, 5 months|android, reactjs, java
Cyril N.|'32948'|219||342.2m|Belfort, France|nicodeme||java, python, mysql, php, jquery
hqt|'25285'|204||274.5m|Vietnam|qt|8 years, 4 months|android, java, c, arrays, python
Vitim.us|'14087'|150|70|14.3m|America|ictornpb|8 years, 8 months|regex, jquery, html, css, ide
vladimir|'5289'||||Richmond, BC, Canada|ladimir|10 years, 2 months|c#, asp.net, jquery
8-Bit Borges|'4821'||||Buenos Aires, capital of Brazil|atalanov|6 years, 2 months|python, flask, spotify, reactjs
MK Patel|'1128'||||Ahmedabad, Gujarat, India||1 year, 4 months|django, python, html
Mihail Duchev|'1681'||||Sofia, Bulgaria|duchev|5 years, 8 months|xamarin, c#, android
vitorhnn||||||itorhnn|2 years, 5 months|gcc, c, x86-64, assembly
Mark B|'89551'|2,658||2,658.6m|||10 years, 4 months|c++, stl, c++11, c, vector, templates
talonmies|'64310'|1,594||1,594.7m|Sweden||9 years, 2 months|cuda, gpu, c, c++, gpgpu, python
blowdart|'50127'|768||768.6m|Seattle, WA|lowdart|11 years, 9 months|c#, asp.net, .net, wcf
ZER0|'20434'|463||463.1m|||8 years, 2 months|arrays, jquery, html, json
Riccardo Bucco|'2851'||||Marostica, Italy||4 years, 9 months|python, list, pandas, string, numpy
Maestro|'2000'||||||2 years, 4 months|c++, function, c++11, mfc
Christopher Painter|'51011'|2,007||26.6m|Austin, TX|swix|10 years, 7 months|wix, installer, c#
Biju Kunjummen|'43990'|758||758.4m|Beaverton, OR, United States|ijukunjummen|10 years, 7 months|spring, java, jackson, json, rest
Johan Sjöberg|'41338'|470||70.2m|Gothenburg, Sweden||9 years, 10 months|java, spring, string, regex, solr
Bart van Heukelom|'38316'|264||359.0m|Netherlands|artvanheukelom|11 years, 2 months|java, php, mysql, flash, security
Lyndsey Scott|'33691'|414||414.7m|Los Angeles, CA, United States|||ios, swift
Bill|'31194'||||||11 years, 5 months|textview, android, windows, nasm
